P-201912-calib
expage.github.io

Calib-site	Sample-type	Sample-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Alt-flag	Thickn(cm)	Density(g/cm3)	Shield	Erosion(mm/ka)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	P10(at/g/yr)	P10-unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26-unc(at/g/yr)	P26-included?	P10iso(at/g/yr)	P10iso-unc(at/g/yr)	P10iso-included?	P26iso(at/g/yr)	P26iso-unc(at/g/yr)	P26iso-included?	Publication
16	boulder	Kell2015-4	Q-43	-13.9437	-70.8953	4844	std	1.4992	2.29	0.999	5	553270	16045	KNSTD	0	0	0	2005	12290	150	3.615	0.118	X	-	-	-	3.613	0.118	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-5	Q-44	-13.9450	-70.8954	4849	std	2.0338	2.6	1	5	554020	16067	KNSTD	0	0	0	2005	12290	150	3.644	0.119	X	-	-	-	3.642	0.119	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-6	Q-44a	-13.9450	-70.8954	4849	std	2.8763	2.6	1	0	577900	17990	KNSTD	0	0	0	2005	12290	150	3.665	0.123	X	-	-	-	3.663	0.123	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-7	Q-46	-13.9463	-70.8924	4863	std	0.9205	2.6	1	5	571630	16577	KNSTD	0	0	0	2005	12290	150	3.707	0.121	X	-	-	-	3.706	0.121	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-8	Q-47	-13.9463	-70.8921	4865	std	2.1	2.29	1	5	571390	16570	07KNSTD	0	0	0	2008	12293	150	4.102	0.134	X	-	-	-	4.100	0.134	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-9	Q-48	-13.9461	-70.8927	4862	std	3.4	2.29	0.998	5	589570	17098	07KNSTD	0	0	0	2008	12293	150	4.281	0.139	-	-	-	-	4.279	0.139	-	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-10	Q-49	-13.9458	-70.8935	4851	std	5.1263	2.29	1	5	586260	17002	KNSTD	0	0	0	2005	12290	150	3.901	0.127	X	-	-	-	3.899	0.127	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-11	Q-83	-13.9440	-70.8923	4856	std	3.2	2.6	0.975	5	495360	14365	07KNSTD	0	0	0	2008	12293	150	3.713	0.121	X	-	-	-	3.711	0.121	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-12	Q-83a	-13.9440	-70.8923	4856	std	2.78	2.6	0.975	0	498720	14463	07KNSTD	0	0	0	2008	12293	150	3.572	0.113	X	-	-	-	3.570	0.113	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-13	Q-135	-13.9468	-70.8862	4863	std	2.34	2.29	0.999	5	515920	14962	07KNSTD	0	0	0	2008	12293	150	3.714	0.121	X	-	-	-	3.712	0.121	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-14	Q-136	-13.9463	-70.8865	4866	std	2.26	2.29	0.993	5	499300	14480	07KNSTD	0	0	0	2008	12293	150	3.609	0.118	X	-	-	-	3.607	0.117	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-15	Q-137	-13.9457	-70.8855	4870	std	2.1	2.29	0.999	5	543320	15756	07KNSTD	0	0	0	2008	12293	150	3.894	0.127	X	-	-	-	3.892	0.127	X	-	-	-	Kelly et al. (2015)
16	boulder	Phil2016b-1	HU08-01	-13.94494	-70.89539	4854	std	7	2.29	0.997	8.1	508150	19825	07KNSTD	3420000	167580	KNSTD	2008	12293	150	3.874	0.168	X	28.155	1.515	X	3.872	0.168	X	28.143	1.514	X	Phillips et al. (2016b)
16	boulder	Phil2016b-2	HU08-02	-13.94635	-70.89241	4862	std	5	2.29	0.999	4.8	510869	17300	07KNSTD	3300000	161700	KNSTD	2008	12293	150	3.734	0.139	X	26.033	1.368	X	3.732	0.139	X	26.021	1.367	X	Phillips et al. (2016b)
16	boulder	Phil2016b-3	HU08-03	-13.94613	-70.89266	4859	std	6	2.29	0.994	3.2	504095	21481	07KNSTD	3380000	165620	KNSTD	2008	12293	150	3.686	0.168	X	26.684	1.386	X	3.684	0.167	X	26.672	1.385	X	Phillips et al. (2016b)
16	boulder	Phil2016b-4	HU08-04	-13.94545	-70.89280	4848	std	5	2.29	0.991	8.1	498291	14450	07KNSTD	3330000	163170	KNSTD	2008	12293	150	3.786	0.126	X	27.316	1.470	X	3.784	0.126	X	27.304	1.469	X	Phillips et al. (2016b)
16	boulder	Phil2016b-5	HU08-06	-13.94454	-70.89483	4843	std	7	2.29	0.999	4.8	502341	14568	07KNSTD	3560000	174440	KNSTD	2008	12293	150	3.748	0.122	X	28.692	1.508	X	3.747	0.122	X	28.679	1.507	X	Phillips et al. (2016b)
16	boulder	Phil2016b-6	HU08-10	-13.94700	-70.88693	4860	std	3.2	2.29	0.997	4.8	514626	14924	07KNSTD	3250000	159250	KNSTD	2008	12293	150	3.731	0.121	X	25.428	1.336	X	3.729	0.121	X	25.416	1.335	X	Phillips et al. (2016b)
16	boulder	Phil2016b-7	HU08-11	-13.94715	-70.88680	4860	std	6	2.29	0.999	6.5	519476	15065	07KNSTD	3310000	200000	KNSTD	2008	12293	150	3.872	0.127	X	26.630	1.731	X	3.870	0.127	X	26.618	1.730	X	Phillips et al. (2016b)
16	boulder	Phil2016b-8	HU08-14	-13.94887	-70.88559	4871	std	5	2.29	0.996	3.2	510653	14809	07KNSTD	3790000	185710	KNSTD	2008	12293	150	3.684	0.119	X	29.549	1.535	X	3.682	0.119	X	29.535	1.534	X	Phillips et al. (2016b)
16	boulder	Phil2016b-9	HU08-15	-13.94838	-70.88537	4869	std	6	2.29	0.995	6.5	463632	27121	07KNSTD	3230000	158270	KNSTD	2008	12293	150	3.453	0.217	X	25.980	1.382	X	3.451	0.217	X	25.969	1.381	X	Phillips et al. (2016b)
16	boulder	Phil2016b-10	HU08-16	-13.94679	-70.88619	4867	std	6	2.29	0.997	3.2	478397	34536	07KNSTD	3340000	163660	KNSTD	2008	12293	150	3.473	0.261	X	26.190	1.360	X	3.472	0.261	X	26.178	1.360	X	Phillips et al. (2016b)
17	bedrock	Lift2015-1	05PPT-01	41.2637	-112.4753	1603	std	3	2.65	0.978	0	253259	7345	07KNSTD	1614418	99783	KNSTD	2005	18366	306	4.244	0.142	X	27.677	1.787	X	4.111	0.138	X	26.824	1.732	X	Lifton et al. (2015)
17	bedrock	Lift2015-2	05PPT-02	41.2637	-112.4753	1603	std	3	2.65	0.994	0	247853	7364	07KNSTD	1641727	165234	KNSTD	2005	18366	306	4.086	0.140	X	27.693	2.850	X	3.958	0.135	X	26.839	2.762	X	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	std	3.5	2.65	0.962	0	249193	7227	07KNSTD	1716179	197545	KNSTD	2005	18366	306	4.274	0.143	X	30.135	3.536	X	4.140	0.139	X	29.206	3.427	X	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	std	2.5	2.66	0.982	0	250937	7277	07KNSTD	1665718	108693	KNSTD	2005	18366	306	4.187	0.141	X	28.442	1.932	X	4.056	0.136	X	27.565	1.872	X	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	std	4	2.67	0.990	0	254066	8812	07KNSTD	1747939	85649	KNSTD	2005	18366	306	4.236	0.164	X	29.839	1.557	X	4.103	0.158	X	28.919	1.509	X	Lifton et al. (2015)
17	boulder	Lift2015-6	05PPT-08	41.2638	-112.4748	1606	std	2.5	2.68	0.986	0	251049	7280	07KNSTD	1794821	100689	KNSTD	2005	18366	306	4.146	0.139	X	30.365	1.792	X	4.017	0.135	X	29.429	1.737	X	Lifton et al. (2015)
18	bedrock	Stroe2015-1	S-03-02	58.51890	13.72940	115	std	2	2.65	1	0	59741	3444	KNSTD	0	0	0	2003	11673	300	3.920	0.248	X	-	-	-	4.164	0.263	X	-	-	-	Stroeven et al. (2015)
18	bedrock	Stroe2015-2	S-03-03	58.51890	13.72940	119	std	4	2.65	1	0	61935	2940	KNSTD	0	0	0	2003	11673	300	4.088	0.221	X	-	-	-	4.348	0.235	X	-	-	-	Stroeven et al. (2015)
18	boulder	Stroe2015-3	S-03-04	58.53402	13.75966	95	std	2	2.65	1	0	57339	3679	KNSTD	0	0	0	2003	11673	300	3.967	0.275	X	-	-	-	4.195	0.291	X	-	-	-	Stroeven et al. (2015)
18	boulder	Stroe2015-4	S-03-05	58.53402	13.75966	95	std	2	2.65	1	0	50448	3961	KNSTD	0	0	0	2003	11673	300	3.483	0.289	X	-	-	-	3.683	0.305	X	-	-	-	Stroeven et al. (2015)
18	boulder	Stroe2015-5	S-03-06	58.53320	13.76458	100	std	2	2.65	1	0	53962	5086	KNSTD	0	0	0	2003	11673	300	3.677	0.360	X	-	-	-	3.892	0.381	X	-	-	-	Stroeven et al. (2015)
18	bedrock	Stroe2015-6	S-03-07	58.50032	13.63830	106	std	5	2.65	0.9954	0	57758	2240	KNSTD	0	0	0	2003	11673	300	4.000	0.186	X	-	-	-	4.240	0.198	X	-	-	-	Stroeven et al. (2015)
18	bedrock	Stroe2015-7	S-03-08	58.50032	13.63830	105	std	5	2.65	0.9954	0	60860	2596	KNSTD	0	0	0	2003	11673	300	4.227	0.211	X	-	-	-	4.480	0.224	X	-	-	-	Stroeven et al. (2015)
18	bedrock	Stroe2015-8	S-03-09	58.49664	13.63800	120	std	5	2.65	1	0	59133	4350	KNSTD	0	0	0	2003	11673	300	3.930	0.307	X	-	-	-	4.180	0.327	X	-	-	-	Stroeven et al. (2015)
18	cobbles	Stroe2015-9	S-03-10	58.50514	13.59663	110	std	5	2.65	1	0	56553	2407	KNSTD	0	0	0	2003	11673	300	3.856	0.192	X	-	-	-	4.091	0.204	X	-	-	-	Stroeven et al. (2015)
18	cobble	Stroe2015-10	S-03-11	58.51637	13.61215	105	std	10	2.65	1	0	43495	3124	NIST_30000	317327	20214	KNSTD	2003	11673	300	3.216	0.246	X	25.173	1.738	-	3.408	0.261	X	26.667	1.841	-	Stroeven et al. (2015), Stroeven et al. (2016)
19	bedrock	SmaFab2015-1	GR0602	56.990	-4.686	325	std	3	2.7	0.9811	0	77978	3610	NIST_30600	0	0	0	2006	11982	313	4.195	0.223	X	-	-	-	4.224	0.225	X	-	-	-	Small and Fabel (2015)
19	bedrock	SmaFab2015-2	GR0603	56.990	-4.686	325	std	3	2.7	0.9269	0	72368	3305	NIST_30600	0	0	0	2006	11982	313	4.120	0.217	X	-	-	-	4.148	0.219	X	-	-	-	Small and Fabel (2015)
19	bedrock	SmaFab2015-3	GR0604	56.991	-4.685	325	std	3	2.7	0.9543	0	75509	3402	NIST_30600	0	0	0	2006	11982	313	4.176	0.218	X	-	-	-	4.204	0.219	X	-	-	-	Small and Fabel (2015)
19	bedrock	SmaFab2015-4	GR0605	56.995	-4.695	325	std	5	2.7	0.6841	0	53588	5237	NIST_30600	0	0	0	2006	11982	313	4.207	0.427	X	-	-	-	4.235	0.430	X	-	-	-	Small and Fabel (2015)
20	boulder	Mart2015-1	AZA-11	-18.92045	-66.74732	3930	std	1.5	2.7	0.998	0	505000	27000	NIST_27900	0	0	0	2010	16130	640	3.902	0.260	X	-	-	-	3.873	0.259	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-2	AZA-13	-18.90822	-66.75647	3808	std	1	2.7	0.999	0	492512	20475	NIST_27900	0	0	0	2010	16130	640	4.041	0.233	X	-	-	-	4.011	0.231	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-3	AZA-27	-18.91465	-66.74508	3930	std	2.5	2.7	0.998	0	530000	33000	NIST_27900	0	0	0	2010	16130	640	4.128	0.306	X	-	-	-	4.097	0.303	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-4	AZA-28	-18.91512	-66.74990	3909	std	2	2.7	0.999	0	517961	34489	NIST_27900	0	0	0	2010	16130	640	4.059	0.316	X	-	-	-	4.029	0.313	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-5	AZA-29	-18.91557	-66.75127	3909	std	4	2.7	0.999	0	552000	31000	NIST_27900	0	0	0	2010	16130	640	4.393	0.303	X	-	-	-	4.360	0.301	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-6	AZA-31	-18.91223	-66.74630	3908	std	1	2.7	0.998	0	524000	15196	NIST_27900	0	0	0	2010	16130	640	4.082	0.201	X	-	-	-	4.052	0.199	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-7	AZA-11-01	-18.91252	-66.75071	3903	std	2	2.7	0.999	0	498000	15000	NIST_27900	0	0	0	2010	16130	640	3.914	0.195	X	-	-	-	3.885	0.194	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-8	AZA-11-02	-18.91309	-66.75075	3909	std	2	2.7	0.999	0	498000	15000	NIST_27900	0	0	0	2010	16130	640	3.901	0.195	X	-	-	-	3.873	0.193	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-9	AZA-11-04	-18.91500	-66.75015	3935	std	3	2.7	0.999	0	501000	15000	NIST_27900	0	0	0	2010	16130	640	3.901	0.194	X	-	-	-	3.872	0.193	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-10	AZA-11-05	-18.91552	-66.75131	3899	std	3	2.7	0.999	0	536000	22000	NIST_27900	0	0	0	2010	16130	640	4.255	0.243	X	-	-	-	4.224	0.242	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-11	AZA-13-04	-18.90891	-66.75649	3804	std	2.5	2.7	0.999	0	414000	72000	NIST_27900	0	0	0	2010	16130	640	3.439	0.616	X	-	-	-	3.413	0.611	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-12	AZA-13-05	-18.90844	-66.75645	3802	std	2	2.7	0.999	0	476000	16000	NIST_27900	0	0	0	2010	16130	640	3.947	0.206	X	-	-	-	3.918	0.204	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-13	AZA-30	-18.91248	-66.74950	3895	std	2.5	2.7	0.999	0	701000	20329	NIST_27900	0	0	0	2010	16130	640	5.564	0.274	-	-	-	-	5.523	0.272	-	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-14	AZA-32	-18.91418	-66.74557	3909	std	2	2.7	0.998	0	670000	35000	NIST_27900	0	0	0	2010	16130	640	5.263	0.346	-	-	-	-	5.224	0.344	-	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-15	AZA-33	-18.92003	-66.74595	3987	std	2	2.7	0.998	0	1657000	68000	NIST_27900	0	0	0	2010	16130	640	12.530	0.717	-	-	-	-	12.439	0.712	-	-	-	-	Martin et al. (2015)
21	bedrock	Borc2016-1	06-SKY-01	57.24081	-5.97272	442	std	7	2.52	0.924	0	71581	2628	07KNSTD	0	0	0	2006	11756	500	4.205	0.237	X	-	-	-	4.229	0.238	X	-	-	-	Borchers et al. (2016)
21	bedrock	Borc2016-2	06-SKY-03	57.24091	-5.96811	323	std	8	2.52	0.958	0	62456	1997	07KNSTD	471000	36000	KNSTD	2006	11756	500	3.980	0.212	X	30.087	2.643	-	4.002	0.213	X	30.258	2.658	-	Borchers et al. (2016)
21	boulder	Borc2016-3	06-SKY-04	57.24223	-5.96876	339	std	7.5	2.46	0.976	0.2	69936	3147	07KNSTD	0	0	0	2006	11756	500	4.298	0.267	X	-	-	-	4.323	0.268	X	-	-	-	Borchers et al. (2016)
21	boulder	Borc2016-4	06-SKY-05	57.24240	-5.96630	322	std	3.5	2.44	0.987	0.2	70100	9000	07KNSTD	0	0	0	2006	11756	500	4.191	0.569	X	-	-	-	4.216	0.573	X	-	-	-	Borchers et al. (2016)
21	boulder	Borc2016-5	06-SKY-06	57.24249	-5.96588	310	std	7.5	2.49	0.990	0.2	67339	2718	07KNSTD	0	0	0	2006	11756	500	4.193	0.246	X	-	-	-	4.218	0.248	X	-	-	-	Borchers et al. (2016)
21	boulder	Borc2016-6	06-SKY-07	57.24269	-5.96485	300	std	6	2.56	0.992	0.2	64319	2095	07KNSTD	593000	56000	KNSTD	2006	11756	500	3.990	0.214	X	36.989	3.856	-	4.013	0.215	X	37.200	3.878	-	Borchers et al. (2016)
21	boulder	Borc2016-7	06-SKY-08	57.24250	-5.96530	314	std	2	2.41	0.988	0	64100	4200	07KNSTD	0	0	0	2006	11756	500	3.800	0.297	X	-	-	-	3.821	0.299	X	-	-	-	Borchers et al. (2016)
22	boulder	Borc2016-8	06-HKY-01	57.41525	-5.64641	133	std	2.5	2.52	0.988	1	57400	1665	07KNSTD	424000	22000	KNSTD	2006	11756	500	4.090	0.211	X	30.226	2.047	X	4.116	0.213	X	30.411	2.060	X	Borchers et al. (2016)
22	boulder	Borc2016-9	06-HKY-03A	57.41550	-5.64662	131	std	5.85	2.47	0.985	1	62100	1801	07KNSTD	396000	20000	KNSTD	2006	11756	500	4.571	0.236	-	29.092	1.938	X	4.599	0.238	-	29.270	1.950	X	Borchers et al. (2016)
22	boulder	Borc2016-10	06-HKY-04	57.42309	-5.65812	137	std	10	2.59	0.972	0	53300	1546	07KNSTD	387000	21000	KNSTD	2006	11756	500	4.054	0.209	X	29.432	2.037	X	4.079	0.210	X	29.612	2.049	X	Borchers et al. (2016)
22	boulder	Borc2016-11	02-SCOT-001-ARR	57.41413	-5.64375	139	std	4	2.57	0.990	1	56500	1638	07KNSTD	392000	22000	KNSTD	2002	11752	500	4.048	0.209	X	28.063	1.996	X	4.073	0.211	X	28.235	2.009	X	Borchers et al. (2016)
22	boulder	Borc2016-12	02-SCOT-002-ARR	57.41413	-5.64375	139	std	2	2.57	0.990	1	57400	1665	07KNSTD	454000	23000	KNSTD	2002	11752	500	4.045	0.209	X	32.048	2.140	X	4.070	0.210	X	32.245	2.153	X	Borchers et al. (2016)
22	boulder	Borc2016-13	02-SCOT-003-ARR	57.41413	-5.64375	139	std	4	2.57	0.990	1	54400	1578	07KNSTD	0	0	0	2002	11752	500	3.896	0.201	X	-	-	-	3.920	0.203	X	-	-	-	Borchers et al. (2016)
22	boulder	Borc2016-14	02-SCOT-004-ARR	57.41512	-5.64620	135	std	6.2	2.71	0.988	1	57500	1667	07KNSTD	400000	24000	KNSTD	2002	11752	500	4.236	0.219	X	29.448	2.190	X	4.262	0.220	X	29.629	2.203	X	Borchers et al. (2016)
22	boulder	Borc2016-15	02-SCOT-005-ARR	57.41512	-5.64620	135	std	3.3	2.57	0.988	1	58800	1705	07KNSTD	451000	27000	KNSTD	2002	11752	500	4.215	0.218	X	32.371	2.403	X	4.242	0.219	X	32.570	2.417	X	Borchers et al. (2016)
22	boulder	Borc2016-16	02-SCOT-006-ARR	57.41525	-5.64641	133	std	2.4	2.57	0.988	1	56400	2000	07KNSTD	405000	24000	KNSTD	2002	11752	500	4.018	0.224	X	28.849	2.127	X	4.043	0.225	X	29.026	2.140	X	Borchers et al. (2016)
22	boulder	Borc2016-17	02-SCOT-007-ARR	57.41525	-5.64641	133	std	2.1	2.57	0.988	1	59500	1725	07KNSTD	427000	30000	KNSTD	2002	11752	500	4.232	0.219	X	30.369	2.523	X	4.258	0.220	X	30.556	2.539	X	Borchers et al. (2016)
22	boulder	Borc2016-18	02-SCOT-008-ARR	57.41525	-5.64641	133	std	1.4	2.57	0.988	1	57700	1673	07KNSTD	397000	20000	KNSTD	2002	11752	500	4.078	0.211	X	28.031	1.866	X	4.103	0.212	X	28.202	1.877	X	Borchers et al. (2016)
23	boulder	Borc2016-19	06-HKY-05	57.48742	-5.44928	521	std	4	2.55	0.987	0	81100	2352	07KNSTD	580000	28420	KNSTD	2006	11756	500	4.042	0.208	X	29.018	1.889	X	4.067	0.210	X	29.191	1.900	X	Borchers et al. (2016)
23	boulder	Borc2016-20	06-HKY-06	57.48755	-5.44977	527	std	3.75	2.53	0.987	0	82600	2500	07KNSTD	586000	28714	KNSTD	2006	11756	500	4.086	0.213	X	29.095	1.894	X	4.110	0.215	X	29.268	1.905	X	Borchers et al. (2016)
23	boulder	Borc2016-21	06-HKY-07	57.48778	-5.44772	500	std	6.25	2.59	0.989	0	77900	2259	07KNSTD	563000	27587	KNSTD	2006	11756	500	4.026	0.207	X	29.206	1.901	X	4.051	0.209	X	29.380	1.913	X	Borchers et al. (2016)
23	boulder	Borc2016-22	06-HKY-08	57.48868	-5.44703	502	std	4	2.59	0.988	0	79600	2308	07KNSTD	560000	27440	KNSTD	2006	11756	500	4.035	0.208	X	28.479	1.854	X	4.059	0.209	X	28.649	1.865	X	Borchers et al. (2016)
23	boulder	Borc2016-23	06-HKY-10	57.48732	-5.44866	510	std	6.75	2.59	0.987	0	78600	2279	07KNSTD	583000	28567	KNSTD	2006	11756	500	4.051	0.209	X	30.172	1.964	X	4.075	0.210	X	30.352	1.976	X	Borchers et al. (2016)
23	boulder	Borc2016-24	06-HKY-11	57.48743	-5.44989	528	std	4	2.58	0.987	0	83800	2430	07KNSTD	606000	29694	KNSTD	2006	11756	500	4.153	0.214	X	30.158	1.963	X	4.178	0.215	X	30.337	1.975	X	Borchers et al. (2016)
24	boulder	Borc2016-32	BL07-01	37.1683	-118.6201	3380	std	4	2.75	0.98512	1	431157	12504	07KNSTD	2798607	137132	KNSTD	2007	13104	200	3.527	0.117	-	23.976	1.250	X	3.497	0.116	-	23.777	1.240	X	Borchers et al. (2016)
24	boulder	Borc2016-33	BL07-02	37.1682	-118.6204	3387	std	5.5	2.75	0.9832	1	479536	13907	07KNSTD	3195697	156589	KNSTD	2007	13104	200	3.965	0.131	X	27.694	1.444	X	3.932	0.130	X	27.464	1.432	X	Borchers et al. (2016)
24	boulder	Borc2016-34	BL07-03	37.1680	-118.6201	3387	std	4.5	2.75	0.9892	1	462263	13406	07KNSTD	3088842	151353	KNSTD	2007	13104	200	3.767	0.125	X	26.377	1.375	X	3.735	0.124	X	26.158	1.364	X	Borchers et al. (2016)
24	boulder	Marc2019-60	SNV-01	37.1654	-118.6227	3390	std	2	2.65	0.98	0	558584	51128	07KNSTD	0	0	0	2008	13105	200	4.445	0.414	X	-	-	-	4.407	0.410	X	-	-	-	Marcott et al. (2019)
24	boulder	Marc2019-61	SNV-02	37.1654	-118.6227	3390	std	2	2.65	0.98	0	258604	7743	07KNSTD	0	0	0	2008	13105	200	2.045	0.069	-	-	-	-	2.028	0.068	-	-	-	-	Marcott et al. (2019)
24	boulder	Marc2019-62	SNV-03	37.1654	-118.6227	3390	std	2	2.65	0.98	0	548688	20867	07KNSTD	0	0	0	2008	13105	200	4.366	0.179	X	-	-	-	4.329	0.178	X	-	-	-	Marcott et al. (2019)
24	boulder	Marc2019-63	SNV-04	37.1656	-118.6228	3380	std	2	2.65	0.98	0	502926	23930	07KNSTD	0	0	0	2008	13105	200	4.024	0.202	X	-	-	-	3.990	0.200	X	-	-	-	Marcott et al. (2019)
24	boulder	Marc2019-64	SNV-05	37.1656	-118.6228	3380	std	2	2.65	0.98	0	496744	22954	07KNSTD	0	0	0	2008	13105	200	3.974	0.194	X	-	-	-	3.941	0.192	X	-	-	-	Marcott et al. (2019)
24	boulder	Marc2019-65	SNV-06	37.1654	-118.6227	3390	std	2	2.65	0.98	0	494338	21666	07KNSTD	0	0	0	2008	13105	200	3.931	0.183	X	-	-	-	3.898	0.181	X	-	-	-	Marcott et al. (2019)
24	boulder	Marc2019-66	SNV-07	37.1654	-118.6227	3390	std	2	2.65	0.98	0	517528	15654	07KNSTD	0	0	0	2008	13105	200	4.117	0.140	X	-	-	-	4.082	0.139	X	-	-	-	Marcott et al. (2019)
24	boulder	Marc2019-67	SNV-08	37.1654	-118.6227	3390	std	2	2.65	0.98	0	347137	15494	07KNSTD	0	0	0	2008	13105	200	2.753	0.130	-	-	-	-	2.730	0.129	-	-	-	-	Marcott et al. (2019)
25	boulder	Putn2019-1	RM-10-01	56.63340	-4.77118	316	std	0.93	2.65	1	0	77000	2233	07KNSTD	0	0	0	2010	11760	500	4.511	0.232	-	-	-	-	4.547	0.234	-	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-2	RM-10-02	56.63338	-4.77133	316	std	2.23	2.65	1	0	69400	2013	07KNSTD	0	0	0	2010	11760	500	4.106	0.212	X	-	-	-	4.140	0.213	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-3	RM-10-03	56.63369	-4.77312	321	std	0.75	2.65	1	0	71500	2074	07KNSTD	0	0	0	2010	11760	500	4.158	0.214	X	-	-	-	4.192	0.216	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-4	RM-10-06	56.63377	-4.77660	325	std	0.67	2.65	1	0	73000	2117	07KNSTD	0	0	0	2010	11760	500	4.228	0.218	X	-	-	-	4.262	0.220	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-5	RM-10-10	56.63592	-4.77492	316	std	0.66	2.65	1	0	68600	1989	07KNSTD	0	0	0	2010	11760	500	4.003	0.206	X	-	-	-	4.036	0.208	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-6	RM-10-11	56.63633	-4.77294	313	std	0.94	2.65	1	0	68200	1978	07KNSTD	0	0	0	2010	11760	500	4.001	0.206	X	-	-	-	4.033	0.208	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-7	RM-10-05	56.63385	-4.77544	324	std	1.60	2.65	1	0	70300	2039	07KNSTD	0	0	0	2010	11760	500	4.107	0.212	X	-	-	-	4.140	0.213	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-8	RM-10-09	56.63459	-4.78123	326	std	3.01	2.65	0.994	0	66600	2200	07KNSTD	0	0	0	2010	11760	500	3.952	0.213	X	-	-	-	3.984	0.215	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-9	RM-10-12	56.63520	-4.77243	316	std	1.93	2.65	1	0	68100	1975	07KNSTD	0	0	0	2010	11760	500	4.018	0.207	X	-	-	-	4.051	0.209	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-10	RM-10-04	56.63391	-4.77524	324	std	2.27	2.65	1	0	73500	2132	07KNSTD	0	0	0	2010	11760	500	4.321	0.223	X	-	-	-	4.356	0.224	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-11	RM-10-07	56.63407	-4.77674	325	std	1.41	2.65	1	0	71900	2085	07KNSTD	0	0	0	2010	11760	500	4.19	0.216	X	-	-	-	4.224	0.218	X	-	-	-	Putnamn et al. (2019)
25	boulder	Putn2019-12	RM-10-08	56.63414	-4.77869	327	std	1.49	2.65	1	0	70600	2100	07KNSTD	0	0	0	2010	11760	500	4.109	0.213	X	-	-	-	4.142	0.215	X	-	-	-	Putnamn et al. (2019)
25	boulder	SmaFab2016-1	RMOOR01	56.63500	-4.77800	327	std	1.60	2.65	0.9989	0	63780	1850	NIST_27900	0	0	0	2014	11764	500	3.713	0.191	-	-	-	-	3.743	0.193	-	-	-	-	Small and Fabel (2016)
25	boulder	SmaFab2016-2	RMOOR02	56.63500	-4.78100	326	std	1.20	2.65	0.9998	0	65073	1887	NIST_27900	0	0	0	2014	11764	500	3.777	0.194	X	-	-	-	3.807	0.196	X	-	-	-	Small and Fabel (2016)
25	boulder	SmaFab2016-3	RMOOR03	56.63400	-4.78100	329	std	1.20	2.65	0.9998	0	72794	2111	NIST_27900	0	0	0	2014	11764	500	4.219	0.217	X	-	-	-	4.253	0.219	X	-	-	-	Small and Fabel (2016)
25	boulder	SmaFab2016-4	RMOOR04	56.63400	-4.77900	329	std	1.20	2.65	0.9998	0	66488	1928	NIST_27900	0	0	0	2014	11764	500	3.849	0.198	X	-	-	-	3.880	0.200	X	-	-	-	Small and Fabel (2016)
