P-201810-calib
expage.github.io

Calib-site	Sample-type	Sample-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Alt-flag	Thickn(cm)	Density(g/cm3)	Shield	Erosion(mm/ka)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	P10(at/g/yr)	P10-unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26-unc(at/g/yr)	P26-included?	Publication
16	boulder	Phil2016b-7	HU08-11	-13.94715	-70.88680	4860	std	6	2.29	0.999	6.5	518336	15032	07KNSTD	3310000	200000	KNSTD	2008	12293	150	3.864	0.127	X	26.630	1.731	X	Phillips et al. (2016b)
16	boulder	Phil2016b-8	HU08-14	-13.94887	-70.88559	4871	std	5	2.29	0.996	3.2	510437	14803	07KNSTD	3790000	185710	KNSTD	2008	12293	150	3.682	0.119	X	29.549	1.535	X	Phillips et al. (2016b)
16	boulder	Phil2016b-9	HU08-15	-13.94838	-70.88537	4869	std	6	2.29	0.995	6.5	461588	26887	07KNSTD	3230000	158270	KNSTD	2008	12293	150	3.438	0.215	X	25.980	1.382	X	Phillips et al. (2016b)
16	boulder	Phil2016b-10	HU08-16	-13.94679	-70.88619	4867	std	6	2.29	0.997	3.2	476310	34345	07KNSTD	3340000	163660	KNSTD	2008	12293	150	3.458	0.260	X	26.191	1.361	X	Phillips et al. (2016b)
17	bedrock	Lift2015-1	05PPT-01	41.2637	-112.4753	1603	std	3	2.65	0.978	0	252064	7310	07KNSTD	1627030	79724	KNSTD	2005	18366	306	4.224	0.142	X	27.896	1.456	X	Lifton et al. (2015)
17	bedrock	Lift2015-2	05PPT-02	41.2637	-112.4753	1603	std	3	2.65	0.994	0	249259	7229	07KNSTD	1542037	122141	KNSTD	2005	18366	306	4.109	0.138	X	25.990	2.122	X	Lifton et al. (2015)
17	bedrock	Lift2015-3	05PPT-03	41.2636	-112.4758	1600	std	3.5	2.65	0.962	0	247620	7181	07KNSTD	1636963	115489	KNSTD	2005	18366	306	4.246	0.143	X	28.728	2.100	X	Lifton et al. (2015)
17	bedrock	Lift2015-4	05PPT-04	41.2636	-112.4769	1598	std	2.5	2.66	0.982	0	250644	7269	07KNSTD	1698098	83207	KNSTD	2005	18366	306	4.182	0.140	X	29.002	1.513	X	Lifton et al. (2015)
17	boulder	Lift2015-5	05PPT-05	41.2639	-112.4750	1605	std	4	2.67	0.990	0	254397	7378	07KNSTD	1723264	84440	KNSTD	2005	18366	306	4.241	0.142	X	29.413	1.535	X	Lifton et al. (2015)
17	boulder	Lift2015-6	05PPT-08	41.2638	-112.4748	1606	std	2.5	2.68	0.986	0	252921	7335	07KNSTD	1815798	88974	KNSTD	2005	18366	306	4.178	0.140	X	30.724	1.603	X	Lifton et al. (2015)
18	bedrock	Stroe2015-1	S-03-02	58.51890	13.72940	115	std	2	2.65	1	0	59741	3444	KNSTD	0	0	0	2003	11406	300	3.957	0.251	X	-	-	-	Stroeven et al. (2015)
18	bedrock	Stroe2015-2	S-03-03	58.51890	13.72940	119	std	4	2.65	1	0	61935	2940	KNSTD	0	0	0	2003	11517	300	4.120	0.224	X	-	-	-	Stroeven et al. (2015)
18	boulder	Stroe2015-3	S-03-04	58.53402	13.75966	95	std	2	2.65	1	0	57339	3679	KNSTD	0	0	0	2003	10733	300	4.109	0.288	X	-	-	-	Stroeven et al. (2015)
18	boulder	Stroe2015-4	S-03-05	58.53402	13.75966	95	std	2	2.65	1	0	50448	3961	KNSTD	0	0	0	2003	10734	300	3.608	0.301	X	-	-	-	Stroeven et al. (2015)
18	boulder	Stroe2015-5	S-03-06	58.53320	13.76458	100	std	2	2.65	1	0	53962	5086	KNSTD	0	0	0	2003	10924	300	3.781	0.372	X	-	-	-	Stroeven et al. (2015)
18	bedrock	Stroe2015-6	S-03-07	58.50032	13.63830	106	std	5	2.65	0.9954	0	57758	2240	KNSTD	0	0	0	2003	11131	300	4.075	0.193	X	-	-	-	Stroeven et al. (2015)
18	bedrock	Stroe2015-7	S-03-08	58.50032	13.63830	105	std	5	2.65	0.9954	0	60860	2596	KNSTD	0	0	0	2003	11098	300	4.315	0.218	X	-	-	-	Stroeven et al. (2015)
18	bedrock	Stroe2015-8	S-03-09	58.49664	13.63800	120	std	5	2.65	1	0	59133	4350	KNSTD	0	0	0	2003	11544	300	3.952	0.309	X	-	-	-	Stroeven et al. (2015)
18	cobbles	Stroe2015-9	S-03-10	58.50514	13.59663	110	std	5	2.65	1	0	56553	2407	KNSTD	0	0	0	2003	11258	300	3.908	0.197	X	-	-	-	Stroeven et al. (2015)
18	cobble	Stroe2015-10	S-03-11	58.51637	13.61215	105	std	10	2.65	1	0	43495	3124	NIST_30000	317327	20214	KNSTD	2003	11098	300	3.283	0.253	-	25.701	1.787	-	Stroeven et al. (2015), Stroeven et al. (2016)
19	bedrock	SmaFab2015-1	GR0602	56.990	-4.686	325	std	3	2.7	0.9811	0	77978	3610	NIST_30600	0	0	0	2006	11982	313	4.195	0.223	X	-	-	-	Small and Fabel (2015)
19	bedrock	SmaFab2015-2	GR0603	56.990	-4.686	325	std	3	2.7	0.9269	0	72368	3305	NIST_30600	0	0	0	2006	11982	313	4.120	0.217	X	-	-	-	Small and Fabel (2015)
19	bedrock	SmaFab2015-3	GR0604	56.991	-4.685	325	std	3	2.7	0.9543	0	75509	3402	NIST_30600	0	0	0	2006	11982	313	4.176	0.218	X	-	-	-	Small and Fabel (2015)
19	bedrock	SmaFab2015-4	GR0605	56.995	-4.695	325	std	5	2.7	0.6841	0	53588	5237	NIST_30600	0	0	0	2006	11982	313	4.207	0.427	X	-	-	-	Small and Fabel (2015)
20	boulder	Mart2015-1	AZA-11	-18.92045	-66.74732	3930	std	1.5	2.7	0.998	0	505000	27000	NIST_27900	0	0	0	2010	16130	640	3.902	0.260	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-2	AZA-13	-18.90822	-66.75647	3808	std	1	2.7	0.999	0	495813	20041	NIST_27900	0	0	0	2010	16130	640	4.068	0.231	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-3	AZA-27	-18.91465	-66.74508	3930	std	2.5	2.7	0.998	0	530000	33000	NIST_27900	0	0	0	2010	16130	640	4.128	0.306	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-4	AZA-28	-18.91512	-66.74990	3909	std	2	2.7	0.999	0	525462	32308	NIST_27900	0	0	0	2010	16130	640	4.118	0.302	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-5	AZA-29	-18.91557	-66.75127	3909	std	4	2.7	0.999	0	552000	31000	NIST_27900	0	0	0	2010	16130	640	4.393	0.303	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-6	AZA-31	-18.91223	-66.74630	3908	std	1	2.7	0.998	0	524000	15196	NIST_27900	0	0	0	2010	16130	640	4.082	0.201	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-7	AZA-11-01	-18.91252	-66.75071	3903	std	2	2.7	0.999	0	498000	15000	NIST_27900	0	0	0	2010	16130	640	3.914	0.195	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-8	AZA-11-02	-18.91309	-66.75075	3909	std	2	2.7	0.999	0	498000	15000	NIST_27900	0	0	0	2010	16130	640	3.901	0.195	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-9	AZA-11-04	-18.91500	-66.75015	3935	std	3	2.7	0.999	0	501000	15000	NIST_27900	0	0	0	2010	16130	640	3.901	0.194	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-10	AZA-11-05	-18.91552	-66.75131	3899	std	3	2.7	0.999	0	536000	22000	NIST_27900	0	0	0	2010	16130	640	4.255	0.243	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-11	AZA-13-04	-18.90891	-66.75649	3804	std	2.5	2.7	0.999	0	414000	72000	NIST_27900	0	0	0	2010	16130	640	3.439	0.616	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-12	AZA-13-05	-18.90844	-66.75645	3802	std	2	2.7	0.999	0	476000	16000	NIST_27900	0	0	0	2010	16130	640	3.947	0.206	X	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-13	AZA-30	-18.91248	-66.74950	3895	std	2.5	2.7	0.999	0	701000	20329	NIST_27900	0	0	0	2010	16130	640	5.564	0.274	-	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-14	AZA-32	-18.91418	-66.74557	3909	std	2	2.7	0.998	0	670000	35000	NIST_27900	0	0	0	2010	16130	640	5.263	0.346	-	-	-	-	Martin et al. (2015)
20	boulder	Mart2015-15	AZA-33	-18.92003	-66.74595	3987	std	2	2.7	0.998	0	1657000	68000	NIST_27900	0	0	0	2010	16130	640	12.530	0.717	-	-	-	-	Martin et al. (2015)
21	bedrock	Borc2016-1	06-SKY-01	57.24081	-5.97272	442	std	7	2.52	0.924	0	71155	2063	07KNSTD	0	0	0	2006	11756	300	4.180	0.162	X	-	-	-	Borchers et al. (2016)
21	bedrock	Borc2016-2	06-SKY-03	57.24091	-5.96811	323	std	8	2.52	0.958	0	62577	1815	07KNSTD	471000	36000	KNSTD	2006	11756	300	3.987	0.154	X	30.087	2.437	-	Borchers et al. (2016)
21	boulder	Borc2016-3	06-SKY-04	57.24223	-5.96876	339	std	7.5	2.46	0.976	0.2	68316	1981	07KNSTD	0	0	0	2006	11756	300	4.197	0.163	X	-	-	-	Borchers et al. (2016)
21	boulder	Borc2016-4	06-SKY-05	57.24240	-5.96630	322	std	3.5	2.44	0.987	0.2	70100	9000	07KNSTD	0	0	0	2006	11756	300	4.191	0.551	X	-	-	-	Borchers et al. (2016)
21	boulder	Borc2016-5	06-SKY-06	57.24249	-5.96588	310	std	7.5	2.49	0.990	0.2	66254	1921	07KNSTD	0	0	0	2006	11756	300	4.125	0.160	X	-	-	-	Borchers et al. (2016)
21	boulder	Borc2016-6	06-SKY-07	57.24269	-5.96485	300	std	6	2.56	0.992	0.2	64260	1864	07KNSTD	593000	56000	KNSTD	2006	11756	300	3.986	0.154	X	36.989	3.645	-	Borchers et al. (2016)
21	boulder	Borc2016-7	06-SKY-08	57.24250	-5.96530	314	std	2	2.41	0.988	0	64100	4200	07KNSTD	0	0	0	2006	11756	300	3.800	0.268	X	-	-	-	Borchers et al. (2016)
22	boulder	Borc2016-8	06-HKY-01	57.41525	-5.64641	133	std	2.5	2.52	0.988	1	57400	1665	07KNSTD	424000	22000	KNSTD	2006	11756	300	4.090	0.159	X	30.226	1.770	X	Borchers et al. (2016)
22	boulder	Borc2016-9	06-HKY-03A	57.41550	-5.64662	131	std	5.85	2.47	0.985	1	62100	1801	07KNSTD	396000	20000	KNSTD	2006	11756	300	4.571	0.178	-	29.092	1.667	X	Borchers et al. (2016)
22	boulder	Borc2016-10	06-HKY-04	57.42309	-5.65812	137	std	10	2.59	0.972	0	53300	1546	07KNSTD	387000	21000	KNSTD	2006	11756	300	4.054	0.157	X	29.432	1.773	X	Borchers et al. (2016)
22	boulder	Borc2016-11	02-SCOT-001-ARR	57.41413	-5.64375	139	std	4	2.57	0.990	1	56500	1639	07KNSTD	392000	22000	KNSTD	2002	11752	300	4.048	0.158	X	28.063	1.753	X	Borchers et al. (2016)
22	boulder	Borc2016-12	02-SCOT-002-ARR	57.41413	-5.64375	139	std	2	2.57	0.990	1	57400	1665	07KNSTD	454000	23000	KNSTD	2002	11752	300	4.045	0.157	X	32.048	1.841	X	Borchers et al. (2016)
22	boulder	Borc2016-13	02-SCOT-003-ARR	57.41413	-5.64375	139	std	4	2.57	0.990	1	54400	1578	07KNSTD	0	0	0	2002	11752	300	3.896	0.152	X	-	-	-	Borchers et al. (2016)
22	boulder	Borc2016-14	02-SCOT-004-ARR	57.41512	-5.64620	135	std	6.2	2.71	0.988	1	57500	1668	07KNSTD	400000	24000	KNSTD	2002	11752	300	4.236	0.165	X	29.448	1.947	X	Borchers et al. (2016)
22	boulder	Borc2016-15	02-SCOT-005-ARR	57.41512	-5.64620	135	std	3.3	2.57	0.988	1	58800	1705	07KNSTD	451000	27000	KNSTD	2002	11752	300	4.215	0.164	X	32.371	2.135	X	Borchers et al. (2016)
22	boulder	Borc2016-16	02-SCOT-006-ARR	57.41525	-5.64641	133	std	2.4	2.57	0.988	1	56400	2000	07KNSTD	405000	24000	KNSTD	2002	11752	300	4.018	0.177	X	28.849	1.886	X	Borchers et al. (2016)
22	boulder	Borc2016-17	02-SCOT-007-ARR	57.41525	-5.64641	133	std	2.1	2.57	0.988	1	59500	1726	07KNSTD	427000	30000	KNSTD	2002	11752	300	4.232	0.165	X	30.369	2.302	X	Borchers et al. (2016)
22	boulder	Borc2016-18	02-SCOT-008-ARR	57.41525	-5.64641	133	std	1.4	2.57	0.988	1	57700	1673	07KNSTD	397000	20000	KNSTD	2002	11752	300	4.078	0.159	X	28.031	1.603	X	Borchers et al. (2016)
23	boulder	Borc2016-19	06-HKY-05	57.48742	-5.44928	521	std	4	2.55	0.987	0	81100	2352	07KNSTD	580000	28420	KNSTD	2006	11756	300	4.042	0.156	X	29.018	1.610	X	Borchers et al. (2016)
23	boulder	Borc2016-20	06-HKY-06	57.48755	-5.44977	527	std	3.75	2.53	0.987	0	82600	2500	07KNSTD	586000	28714	KNSTD	2006	11756	300	4.086	0.162	X	29.095	1.615	X	Borchers et al. (2016)
23	boulder	Borc2016-21	06-HKY-07	57.48778	-5.44772	500	std	6.25	2.59	0.989	0	77900	2259	07KNSTD	563000	27587	KNSTD	2006	11756	300	4.026	0.156	X	29.206	1.621	X	Borchers et al. (2016)
23	boulder	Borc2016-22	06-HKY-08	57.48868	-5.44703	502	std	4	2.59	0.988	0	79600	2308	07KNSTD	560000	27440	KNSTD	2006	11756	300	4.035	0.156	X	28.479	1.581	X	Borchers et al. (2016)
23	boulder	Borc2016-23	06-HKY-10	57.48732	-5.44866	510	std	6.75	2.59	0.987	0	78600	2279	07KNSTD	583000	28567	KNSTD	2006	11756	300	4.051	0.157	X	30.172	1.674	X	Borchers et al. (2016)
23	boulder	Borc2016-24	06-HKY-11	57.48743	-5.44989	528	std	4	2.58	0.987	0	83800	2430	07KNSTD	606000	29694	KNSTD	2006	11756	300	4.153	0.161	X	30.158	1.674	X	Borchers et al. (2016)
24	boulder	Borc2016-32	BL07-01	37.1683	-118.6201	3380	std	4	2.75	0.98512	1	431157	12504	07KNSTD	2798607	137132	KNSTD	2007	13104	200	3.527	0.117	-	23.975	1.250	X	Borchers et al. (2016)
24	boulder	Borc2016-33	BL07-02	37.1682	-118.6204	3387	std	5.5	2.75	0.9832	1	479536	13907	07KNSTD	3195697	156589	KNSTD	2007	13104	200	3.965	0.131	-	27.693	1.444	X	Borchers et al. (2016)
24	boulder	Borc2016-34	BL07-03	37.1680	-118.6201	3387	std	4.5	2.75	0.9892	1	462263	13406	07KNSTD	3088842	151353	KNSTD	2007	13104	200	3.767	0.125	-	26.376	1.375	X	Borchers et al. (2016)
25	boulder	Borc2016-35	06-PUG-003-COL	48.01962	-122.42713	60	std	2.2	2.7	1	0	71615	2077	07KNSTD	473311	23192	KNSTD	2006	15444	500	4.611	0.201	-	30.556	1.804	X	Borchers et al. (2016)
25	boulder	Borc2016-36	06-PUG-009-CPT	48.46195	-123.01400	51	std	2	2.7	1	0	60907	1766	07KNSTD	416785	41457	KNSTD	2006	15444	500	3.914	0.170	-	26.839	2.827	X	Borchers et al. (2016)
25	boulder	Borc2016-37	06-PUG-013-CPT	48.45853	-122.98431	84	std	4	2.7	1	0	64342	1866	07KNSTD	441898	21653	KNSTD	2006	15444	500	4.080	0.178	-	28.095	1.659	X	Borchers et al. (2016)
